label,root_id,n_branches,total_length_um,n_snapped_synapses,n_branches_with_3plus_synapses,stub_fraction,extent_x_um,extent_y_um,extent_z_um,n_axes_above_100um,has_variable_radius,electrotonic_length_median,electrotonic_length_iqr,passes_branch_count,passes_total_length,passes_snapped_synapses,passes_stub_fraction,passes_extent,analysis_ready
exc_23P_864691134884807418,864691134884807418,131,6758.63749393885,7002,122,0.0,517.608,480.008,275.12,3,True,0.07442954405319652,0.13750528020681088,True,True,True,True,True,True
exc_23P_864691134886335738,864691134886335738,31,1898.6317212218178,1010,29,0.0,216.296,297.568,168.04,3,True,0.12033576186741175,0.1174435189096995,True,True,True,True,True,True
exc_23P_864691134886828794,864691134886828794,175,7160.634879740863,6244,138,0.0,728.104,551.224,437.6800000000001,3,True,0.044762469674257746,0.1135020304967189,True,True,True,True,True,True
exc_23P_864691134887444986,864691134887444986,88,3317.276005483422,3908,86,0.0,241.208,186.4,181.16,3,True,0.057871533293397316,0.11736309420490477,True,True,True,True,True,True
exc_23P_864691134919972106,864691134919972106,89,4135.37910440985,5140,81,0.0,390.344,214.344,230.88,3,True,0.06327445286702416,0.1158760475141919,True,True,True,True,True,True
exc_23P_864691134941412707,864691134941412707,47,3456.3604100726116,2457,46,0.0,367.128,306.464,278.76,3,True,0.10955073948481206,0.1770108346320186,True,True,True,True,True,True
exc_23P_864691134941495395,864691134941495395,35,2280.3557948214675,1585,35,0.0,243.992,319.92,183.44,3,True,0.14648572166942964,0.17674193455127055,True,True,True,True,True,True
exc_23P_864691134942169955,864691134942169955,89,4455.6026376186355,3289,81,0.0,317.912,368.152,205.24,3,True,0.06600658650119805,0.14730187632661174,True,True,True,True,True,True
exc_23P_864691134942468707,864691134942468707,96,5010.418999564437,6498,94,0.0,352.53599999999994,252.272,367.32,3,True,0.08394793139618156,0.1407201917661297,True,True,True,True,True,True
exc_23P_864691134942472035,864691134942472035,106,5585.157136124968,5377,101,0.0,397.456,566.816,264.76,3,True,0.07656712452847883,0.12914754433181808,True,True,True,True,True,True
exc_23P_864691134948788476,864691134948788476,98,4941.563907352458,4845,88,0.0,302.304,409.824,214.04,3,True,0.06955775636874667,0.14546715735526122,True,True,True,True,True,True
exc_23P_864691134950156796,864691134950156796,109,4921.670711479885,5602,104,0.0,307.704,192.856,233.92,3,True,0.053561041429638204,0.12874899728267553,True,True,True,True,True,True
exc_23P_864691134965778719,864691134965778719,106,5090.715819107324,4048,94,0.0,384.184,567.592,310.32,3,True,0.057759601249798204,0.13545412399232723,True,True,True,True,True,True
exc_23P_864691134966495519,864691134966495519,86,4907.362017393474,5162,86,0.0,306.272,534.392,249.64,3,True,0.09802208514371982,0.13380138238257736,True,True,True,True,True,True
exc_23P_864691134989865338,864691134989865338,94,4974.980065217586,4362,84,0.0,473.288,331.8,241.08,3,True,0.07759864391461244,0.13411906495540993,True,True,True,True,True,True
exc_23P_864691134991010426,864691134991010426,98,5039.536274873479,6085,94,0.0,285.728,304.752,239.56,3,True,0.07935932139245389,0.1369772215719305,True,True,True,True,True,True
exc_23P_864691135014734486,864691135014734486,34,2909.5787249807017,2136,33,0.0,327.312,517.648,257.8800000000001,3,True,0.13385222214900863,0.1736368267806316,True,True,True,True,True,True
exc_23P_864691135015605910,864691135015605910,58,3603.4513583655435,2913,52,0.0,465.368,508.648,206.48,3,True,0.08457476524256667,0.1450423910648819,True,True,True,True,True,True
exc_23P_864691135015652246,864691135015652246,93,5007.380687160605,5229,90,0.0,202.616,269.104,243.24,3,True,0.08637564900191588,0.1605734707449929,True,True,True,True,True,True
exc_23P_864691135060651419,864691135060651419,146,6591.19598621005,6594,137,0.0,400.528,240.552,262.12,3,True,0.07347920677800786,0.1255078674197769,True,True,True,True,True,True
exc_23P_864691135060727707,864691135060727707,125,5550.266233754113,4743,111,0.0,505.968,505.928,318.04,3,True,0.06852484832886556,0.11393351193165846,True,True,True,True,True,True
exc_23P_864691135067961412,864691135067961412,90,3898.852190693427,3794,86,0.0,281.776,195.976,267.68,3,True,0.07957454092092815,0.13953309474246514,True,True,True,True,True,True
exc_23P_864691135102151968,864691135102151968,105,5080.197055841771,4589,99,0.0,243.96,331.032,193.32,3,True,0.07463432194582904,0.12944396627981872,True,True,True,True,True,True
exc_23P_864691135102274592,864691135102274592,107,4666.4109397802185,8537,106,0.0,329.096,197.384,271.44,3,True,0.06435515836049426,0.11742559471649214,True,True,True,True,True,True
exc_23P_864691135102353696,864691135102353696,92,4391.937077177479,2964,82,0.0,330.76,514.824,341.56,3,True,0.06277316596247914,0.13835573273774537,True,True,True,True,True,True
exc_23P_864691135102381856,864691135102381856,105,5318.0133469316015,4719,91,0.0,296.264,505.696,299.2,3,True,0.05663971228748891,0.14911856816721308,True,True,True,True,True,True
