cell_type,broad_class,n_proofread,n_downloaded,n_qc_passed,n_analysis_ready,download_rate,qc_rate
23P,excitatory,539,538,518,518,0.998,0.963
4P,excitatory,575,520,508,508,0.904,0.977
5PET,excitatory,70,70,70,70,1.0,1.0
5PIT,excitatory,197,196,195,195,0.995,0.995
5PNP,excitatory,14,14,13,13,1.0,0.929
6PCT,excitatory,166,166,164,164,1.0,0.988
6PIT,excitatory,237,237,234,234,1.0,0.987
BC,inhibitory,214,214,213,213,1.0,0.995
BPC,inhibitory,85,85,85,85,1.0,1.0
MC,inhibitory,114,114,114,114,1.0,1.0
NGC,inhibitory,24,24,24,24,1.0,1.0
