label,n_synapses,n_cave,n_hdf5,n_typed,coverage,n_exc,n_inh,exc_frac
exc_23P_864691135060727707,4743,407,794,1201,0.25321526460046384,240,961,0.19983347210657784
exc_23P_864691135102353696,2964,200,426,626,0.21120107962213225,121,505,0.19329073482428116
exc_23P_864691135164772653,4510,335,766,1101,0.2441241685144124,304,797,0.2761126248864669
exc_23P_864691135304641703,5785,627,1151,1778,0.3073465859982714,441,1337,0.24803149606299213
exc_23P_864691135325071004,4472,289,604,893,0.19968694096601072,198,695,0.22172452407614782
exc_23P_864691135351022807,6254,534,1041,1575,0.25183882315318196,373,1202,0.23682539682539683
exc_23P_864691135375745736,4119,329,619,948,0.23015294974508377,229,719,0.24156118143459915
exc_23P_864691135430290480,1562,267,342,609,0.38988476312419973,123,486,0.2019704433497537
exc_23P_864691135504081986,2209,182,329,511,0.23132639203259395,94,417,0.18395303326810175
exc_23P_864691135584504429,1711,172,477,649,0.3793103448275862,233,416,0.35901386748844377
exc_23P_864691135727907391,1869,125,290,415,0.22204387372926698,85,330,0.20481927710843373
exc_23P_864691135741458324,7047,852,1094,1946,0.27614587767844473,371,1575,0.1906474820143885
exc_23P_864691135764932662,4151,377,724,1101,0.2652372922187425,283,818,0.25703905540417804
exc_23P_864691135885921648,5497,661,1525,2186,0.39767145715845004,704,1482,0.3220494053064959
exc_23P_864691135886221168,4933,276,581,857,0.17372795459152646,208,649,0.2427071178529755
exc_23P_864691135892048777,5709,420,984,1404,0.24592748292170258,352,1052,0.25071225071225073
exc_23P_864691136011684526,3997,276,590,866,0.2166624968726545,196,670,0.22632794457274827
exc_23P_864691136111478712,2360,129,301,430,0.18220338983050846,98,332,0.22790697674418606
exc_23P_864691136312150874,2312,290,544,834,0.3607266435986159,228,606,0.2733812949640288
exc_23P_864691136314491965,4468,523,1001,1524,0.3410922112802149,446,1078,0.2926509186351706
exc_23P_864691136954023903,4517,251,535,786,0.1740092982067744,185,601,0.23536895674300254
exc_4P_864691135215254584,2163,325,488,813,0.37586685159500693,286,527,0.35178351783517836
exc_4P_864691135430275120,1894,251,474,725,0.38278775079197463,262,463,0.36137931034482756
exc_4P_864691135547082280,1948,307,505,812,0.41683778234086244,374,438,0.4605911330049261
exc_4P_864691135858273326,3957,481,947,1428,0.36087945413191813,604,824,0.42296918767507
exc_4P_864691135868916246,1875,353,536,889,0.47413333333333335,324,565,0.3644544431946007
exc_4P_864691135877606483,2113,347,594,941,0.44533838144817794,330,611,0.35069075451647186
exc_4P_864691136120159768,1674,298,343,641,0.38291517323775387,198,443,0.3088923556942278
exc_5PET_864691136579127060,11562,1107,1930,3037,0.2626708181975437,1525,1512,0.5021402700032928
exc_5PIT_864691135492614239,3624,487,1090,1577,0.43515452538631344,1028,549,0.6518706404565631
exc_5PIT_864691135756630226,1617,165,235,400,0.24737167594310452,298,102,0.745
exc_5PIT_864691137199828801,2086,313,468,781,0.3744007670182167,381,400,0.4878361075544174
exc_6PCT_864691135594817067,2459,169,408,577,0.23464823098820659,352,225,0.610051993067591
exc_6PCT_864691135700814114,2801,246,415,661,0.23598714744734023,347,314,0.5249621785173979
exc_6PIT_864691136903144370,3029,184,336,520,0.17167381974248927,323,197,0.6211538461538462
inh_BC_864691135586022264,10025,986,3080,4066,0.4055860349127182,2516,1550,0.6187899655681259
inh_BC_864691135878407251,7424,994,2017,3011,0.40557650862068967,1608,1403,0.5340418465626038
inh_BC_864691136312057178,6973,1139,2404,3543,0.5081026817725512,2134,1409,0.602314422805532
inh_BPC_864691135774127611,2319,154,577,731,0.3152220784821044,351,380,0.4801641586867305
inh_BPC_864691135875763086,2479,89,326,415,0.1674062121823316,147,268,0.3542168674698795
inh_BPC_864691136010650796,3088,277,630,907,0.29371761658031087,228,679,0.2513781697905182
inh_BPC_864691136025992761,3183,247,706,953,0.29940307885642475,566,387,0.5939139559286464
inh_BPC_864691136364166370,2484,182,387,569,0.2290660225442834,222,347,0.39015817223198596
inh_MC_864691135492665959,6969,609,1611,2220,0.3185535944898838,1049,1171,0.4725225225225225
inh_MC_864691135577202181,4661,543,1285,1828,0.39219051705642566,1190,638,0.650984682713348
inh_NGC_864691135409760457,4599,342,1033,1375,0.2989780387040661,609,766,0.4429090909090909
inh_NGC_864691135518510218,2741,78,369,447,0.16307916818679313,136,311,0.3042505592841163
inh_NGC_864691135976155459,2787,98,288,386,0.13850017940437748,118,268,0.30569948186528495
inh_NGC_864691135990564864,2341,65,274,339,0.14480991029474582,142,197,0.41887905604719766
inh_NGC_864691136196262102,3028,171,679,850,0.2807133421400264,210,640,0.24705882352941178
inh_NGC_864691136314078013,5872,268,837,1105,0.18818119891008175,406,699,0.36742081447963804
exc_23P_864691134884807418,7006,448,994,1442,0.2058235797887525,382,1060,0.26490984743411927
exc_23P_864691134886335738,1013,142,267,409,0.403751233958539,119,290,0.29095354523227385
exc_23P_864691134886828794,6244,156,454,610,0.09769378603459321,184,426,0.3016393442622951
exc_23P_864691134887444986,3915,259,1054,1313,0.33537675606641126,445,868,0.3389185072353389
exc_23P_864691134887552506,4288,337,762,1099,0.2562966417910448,244,855,0.22202001819836215
exc_23P_864691134919972106,5144,472,848,1320,0.25660964230171074,355,965,0.2689393939393939
exc_23P_864691134941412707,2460,346,541,887,0.36056910569105693,205,682,0.23111612175873733
exc_23P_864691134941495395,1589,215,406,621,0.3908118313404657,163,458,0.26247987117552335
exc_23P_864691134942169955,3316,487,777,1264,0.38118214716525933,329,935,0.2602848101265823
exc_23P_864691134942468707,6517,667,1477,2144,0.32898572963019795,606,1538,0.2826492537313433
exc_23P_864691134942472035,5389,617,1208,1825,0.3386528112822416,525,1300,0.2876712328767123
exc_23P_864691134948788476,4857,521,1126,1647,0.3390982087708462,528,1119,0.3205828779599271
exc_23P_864691134950156796,5610,474,923,1397,0.24901960784313726,310,1087,0.22190408017179672
exc_23P_864691134965778719,4055,365,719,1084,0.267324290998767,220,864,0.2029520295202952
exc_23P_864691134966495519,5174,615,1156,1771,0.3422883649014302,469,1302,0.2648221343873518
exc_23P_864691134989865338,4371,671,996,1667,0.38137725920841914,359,1308,0.21535692861427713
exc_23P_864691134991010426,6093,617,1414,2031,0.3333333333333333,605,1426,0.2978828163466273
exc_23P_864691135014734486,2141,296,593,889,0.41522652965903784,291,598,0.32733408323959506
exc_23P_864691135015605910,2930,421,702,1123,0.38327645051194537,327,796,0.29118432769367764
exc_23P_864691135015652246,5238,604,1181,1785,0.34077892325315007,556,1229,0.311484593837535
exc_23P_864691135060651419,6613,604,1323,1927,0.29139573567216087,495,1432,0.2568759730150493
exc_23P_864691135066892868,6293,704,1196,1900,0.30192277133322737,447,1453,0.23526315789473684
exc_23P_864691135067961412,3840,292,765,1057,0.2752604166666667,293,764,0.2771996215704825
exc_23P_864691135101431072,5207,486,903,1389,0.2667562896101402,329,1060,0.23686105111591071
exc_23P_864691135102151968,4614,643,1139,1782,0.3862158647594278,567,1215,0.3181818181818182
