neuron_label,H,p_value,n_branches,p_bh
exc_23P_864691135304641703,0.4825246669482226,0.7856355008623885,121,0.8232707344366347
exc_23P_864691135404763374,12.207361642882006,0.0022346272989566076,143,0.009538043349205032
exc_23P_864691135409940425,1.0043816192006148,0.6052033210245211,88,0.6713713937632502
exc_23P_864691135463695429,7.798667556352541,0.02025540154216291,85,0.04664072723524355
exc_23P_864691135469753426,2.5474471694463148,0.27978786590443966,78,0.35739325936698496
exc_23P_864691135480718022,3.1523605510148514,0.20676337086612517,81,0.2826842961060305
exc_23P_864691135492749415,9.381262327416152,0.009180889682799622,90,0.02633861794245793
exc_23P_864691135493051879,3.041711660509634,0.21852478677668843,68,0.29280655465994987
exc_23P_864691135502885954,5.4959182050199615,0.06405846464697021,93,0.11380945495654606
exc_23P_864691135591041291,6.118675192597266,0.0469187640917826,102,0.0873487629368293
exc_23P_864691135659358850,11.718962560841305,0.0028527230622617345,129,0.010736054535393624
exc_23P_864691135731679929,3.612293591771362,0.1642859460592556,70,0.2395836713364144
exc_23P_864691135742756203,9.5418421625657,0.008472572636750206,61,0.024919331284559428
exc_23P_864691135773073147,6.283437339222644,0.043208472960822905,100,0.08130626632412911
exc_23P_864691135802453858,5.1688718819381165,0.07543861943708582,95,0.12573103239514305
exc_23P_864691135878468435,9.111250290630124,0.010507929195693001,68,0.029659477568488312
exc_23P_864691135886208112,2.4944356120826825,0.2873030186641885,37,0.36301825462984105
exc_23P_864691135892048777,7.578413721405866,0.02261353041987722,110,0.050093263588335615
exc_23P_864691136043380566,8.202843686128148,0.01654912840222405,54,0.04080066708914693
exc_23P_864691136102330485,4.633299284984673,0.09860338942154254,88,0.15338305021128837
exc_23P_864691136144674612,0.7521777003484402,0.6865413310154508,40,0.7462405771907074
exc_23P_864691136373008520,8.08610544795556,0.017543834102768958,108,0.04234718576530438
exc_23P_864691136596815778,2.028244174341637,0.36272072727322674,135,0.4454465071776469
exc_4P_864691134887460346,1.35766209893049,0.5072095488368586,63,0.576374487314612
exc_4P_864691135060020123,4.2175641025641255,0.12138571801782638,39,0.18312500563034154
exc_4P_864691135119709149,4.841671646888074,0.0888473257385381,52,0.14134801822040152
