neuron_label,H,p_value,n_branches,p_bh
exc_23P_864691135304641703,0.713057078003942,0.700102490958141,125,0.7853713840876582
exc_23P_864691135404763374,8.955758310350745,0.01135747507207917,150,0.09695405549335877
exc_23P_864691135409940425,5.331239183166815,0.06955624371622825,93,0.21578736953750957
exc_23P_864691135463695429,0.30918666882251955,0.8567635228912154,94,0.8963649048457885
exc_23P_864691135469753426,3.5062707552886536,0.1732299497714423,78,0.3481870723004293
exc_23P_864691135480718022,3.659369709021121,0.1604641293542103,85,0.336302067508824
exc_23P_864691135492749415,8.570821495158214,0.013767965201338503,93,0.10475625696670601
exc_23P_864691135493051879,10.95334056327846,0.004183235529955625,69,0.06062236280979131
exc_23P_864691135502885954,2.8796976956650724,0.23696357353305694,93,0.42231432822587395
exc_23P_864691135591041291,6.144582290797871,0.046314918989448874,109,0.18849094937566402
exc_23P_864691135659358850,4.691612705621878,0.09576994662142452,142,0.24646677439337192
exc_23P_864691135731679929,6.526603848330495,0.03826185147698784,75,0.17620589495981243
exc_23P_864691135742756203,8.389519230769253,0.015074365672183789,64,0.10767404051559848
exc_23P_864691135773073147,5.565914491749197,0.061855315262918556,103,0.20794936548071277
exc_23P_864691135802453858,1.6970349834983267,0.4280490480368979,100,0.5968811426809333
exc_23P_864691135878468435,1.8020071946832559,0.40616183219244906,70,0.5709102058930007
exc_23P_864691135886208112,7.706531393045026,0.02121035662545725,41,0.1302390319107024
exc_23P_864691135892048777,9.382233797351034,0.00917643128653561,123,0.08984358460373316
exc_23P_864691136043380566,3.712744090988906,0.15623842931456042,57,0.33141485006118876
exc_23P_864691136102330485,3.8430288461538,0.14638510519869627,95,0.3202174176221481
exc_23P_864691136144674612,5.534830986658221,0.06282416457273793,42,0.20794936548071277
exc_23P_864691136373008520,5.084638102957115,0.07868371645753139,116,0.22334383591862345
exc_23P_864691136596815778,3.205682241279362,0.20132371971011598,150,0.37680910106171445
exc_4P_864691134887460346,9.137870423037896,0.010368994627688193,65,0.09305507999207352
exc_4P_864691135060020123,5.19902439024392,0.07430981806636602,40,0.22152573678079476
exc_4P_864691135119709149,6.925426716141004,0.03134459741322625,55,0.1559644526004631
exc_4P_864691135276505573,8.851153039832298,0.011967309919091692,53,0.09972758265909744
exc_4P_864691135336113129,3.021252525252521,0.22077167360835756,50,0.4024483633485684
exc_4P_864691135346685855,5.403507345367814,0.06708775954830562,43,0.2135337074820939
exc_4P_864691135375484489,4.111167341430502,0.12801809335511713,39,0.3027454910425067
exc_4P_864691135465113157,2.6095238095238074,0.2712371076218032,26,0.4566263661032763
exc_4P_864691135465343045,1.3076923076922924,0.520041764728584,48,0.6642869257481913
exc_4P_864691135499821331,17.232304933391873,0.0001811559189786191,45,0.012680914328503337
exc_4P_864691135519105162,3.9268013800885626,0.14038021866105307,33,0.3115378160454905
exc_4P_864691135569866988,10.958493333908592,0.004172471775110679,42,0.06062236280979131
exc_4P_864691135591726603,0.13038589317659444,0.9368866768489732,42,0.950464744629393
exc_4P_864691135616048587,7.434782608695656,0.024297269423621797,45,0.1388342221456374
exc_4P_864691135619463567,6.27766859604256,0.04333328216421021,45,0.18273070792136833
exc_4P_864691135640297787,3.9501799370220425,0.1387488286558787,38,0.3115378160454905
exc_4P_864691135728030015,8.249011119599345,0.016171488445747458,33,0.11098080305905118
exc_4P_864691135732557241,2.4610683504949122,0.2921364839152717,42,0.4675084703392
exc_4P_864691135742097044,7.8450317124735705,0.01979124014221526,43,0.12594425545046073
exc_4P_864691135764015926,11.168936326831073,0.003755746682195218,38,0.059750515398560286
exc_4P_864691135787537348,5.328014184397148,0.0696684935935388,47,0.21578736953750957
exc_4P_864691135838788755,1.25833333333334,0.5330358124868229,35,0.6702692230194542
exc_4P_864691135853091015,4.939837398373982,0.08459173609892283,40,0.23130552839549212
exc_4P_864691135911276969,9.481035399365709,0.008734123361947664,57,0.08984358460373316
exc_4P_864691136021865976,3.1832085561497365,0.20359872062863113,54,0.3790401713830899
exc_4P_864691136085781356,4.219170252824114,0.12128827529869894,51,0.29223030502009695
exc_4P_864691136299034139,6.805555555555557,0.009087467452439192,24,0.08984358460373316
exc_5PET_864691135124538151,19.195739640922454,6.787316463383725e-05,147,0.007549303340056377
exc_5PET_864691135456207722,0.6138209926283764,0.7357164472942073,72,0.8121869789559207
exc_5PET_864691135503182685,18.715877572364775,8.627775245778717e-05,187,0.007549303340056377
exc_5PET_864691135660029314,7.431926223182586,0.02433199539960724,154,0.1388342221456374
exc_5PET_864691136084313196,2.1683787752320427,0.33817580431328487,102,0.4973173592842424
exc_5PIT_864691135293096118,0.7410418641545675,0.6903745986737391,118,0.7834856673137418
exc_5PIT_864691135309628742,6.032434338092713,0.0489861747301881,61,0.1891822300415281
