neuron_label,branch_idx,pre_root_id,pre_class,k_synapses,mean_pairwise_dist_nm,regime,total_length_nm,post_subtype
inh_BC_864691134886037498,1,864691135210800320,excitatory,2,2148.8154876582585,1,36233.343819843154,BC
inh_BC_864691134886037498,3,864691135946921764,excitatory,2,4461.110175729804,1,49278.45806556492,BC
inh_BC_864691134886037498,5,864691135520105354,excitatory,2,1202.8299963003915,2,162755.03474213713,BC
inh_BC_864691134886037498,5,864691135860116584,excitatory,2,8784.932555233421,2,162755.03474213713,BC
inh_BC_864691134886037498,5,864691136596787362,BC,2,4488.8020673671945,2,162755.03474213713,BC
inh_BC_864691134886037498,11,864691135987458563,excitatory,2,2771.6161350374623,1,71232.45984519435,BC
inh_BC_864691134886037498,13,864691135480592838,MC,2,5190.670091616303,2,74411.16301081055,BC
inh_BC_864691134886037498,13,864691136273020094,excitatory,2,1238.1534638323312,2,74411.16301081055,BC
inh_BC_864691134886037498,19,864691135441731400,excitatory,2,15506.635482915048,1,55026.33812367501,BC
inh_BC_864691134886037498,29,864691135783909427,MC,2,1392.574594052326,1,32843.09470507776,BC
inh_BC_864691134886037498,30,864691135777355360,excitatory,2,2798.2394465091797,2,115578.15000683574,BC
inh_BC_864691134886037498,31,864691136210453436,excitatory,2,5729.044597487438,2,118705.08366306142,BC
inh_BC_864691134886037498,31,864691136577987860,excitatory,2,1474.7365866486123,2,118705.08366306142,BC
inh_BC_864691134886037498,38,864691135955919880,BC,2,5910.236543489609,2,90816.50734125896,BC
inh_BC_864691134886037498,47,864691135383553515,excitatory,2,3161.6603233111555,0,16625.419953686254,BC
inh_BC_864691134886037498,47,864691136812811635,excitatory,2,4881.096598101702,0,16625.419953686254,BC
inh_BC_864691134886037498,48,864691135361247815,excitatory,2,9712.836866744958,1,61048.64014219698,BC
inh_BC_864691134886037498,48,864691135851754695,excitatory,2,13475.30838237107,1,61048.64014219698,BC
inh_BC_864691134886037498,48,864691136812811635,excitatory,2,1734.0680494144399,1,61048.64014219698,BC
inh_BC_864691134886037498,50,864691135448227986,excitatory,2,860.5114758095908,1,38387.95187027053,BC
inh_BC_864691134886037498,54,864691135614367947,excitatory,2,23964.71572958878,2,109859.33587276148,BC
inh_BC_864691134886037498,56,864691134990817914,BC,2,3136.073978719252,1,51314.46152748989,BC
inh_BC_864691134886037498,60,864691136912642545,excitatory,2,1023.0933486246502,1,29246.10381185619,BC
inh_BC_864691134886037498,62,864691135940571137,excitatory,2,1252.3066717062559,2,97062.70864269049,BC
inh_BC_864691134886037498,62,864691136118889636,excitatory,2,1818.9843319830989,2,97062.70864269049,BC
inh_BC_864691134886037498,62,864691136823911534,excitatory,2,36700.266593037166,2,97062.70864269049,BC
inh_BC_864691134886037498,63,864691135561060833,BC,2,2072.386064419465,2,109695.01273767256,BC
inh_BC_864691134886037498,66,864691135124547111,excitatory,2,15618.839905703624,2,108292.71398625808,BC
inh_BC_864691134886037498,69,864691135429487920,excitatory,4,3787.6144574081463,2,131837.6751806283,BC
inh_BC_864691134886037498,72,864691136389274231,BC,2,4696.38158585948,1,61614.775359074374,BC
inh_BC_864691134886037498,76,864691136143535156,excitatory,2,2025.236776280739,0,7242.781471630382,BC
inh_BC_864691134886037498,79,864691136904061874,BC,2,4391.194826012619,0,12275.37467567102,BC
inh_BC_864691134886037498,80,864691135702226555,excitatory,2,19201.429946751363,2,100335.41717819794,BC
inh_BC_864691134886037498,80,864691135740454548,excitatory,2,1448.27069293002,2,100335.41717819794,BC
inh_BC_864691134886037498,80,864691136913170929,BC,3,14980.530642746837,2,100335.41717819794,BC
inh_BC_864691134886037498,83,864691135587226354,MC,2,33711.92501178181,2,153456.56781030842,BC
inh_BC_864691134886037498,83,864691136009225132,excitatory,2,3361.3092687225317,2,153456.56781030842,BC
inh_BC_864691134886037498,83,864691136194613206,excitatory,2,11079.567500584128,2,153456.56781030842,BC
inh_BC_864691134886037498,84,864691136663001566,excitatory,2,1901.107045907726,2,109810.10440915996,BC
inh_BC_864691134920000010,4,864691135336599785,MC,2,5365.485252985046,1,65507.36062967498,BC
inh_BC_864691134920000010,4,864691135732257721,BC,2,5340.346056202725,1,65507.36062967498,BC
inh_BC_864691134920000010,6,864691135309325638,BC,6,35081.01343298681,2,139257.2019752113,BC
inh_BC_864691134920000010,6,864691135466333509,BC,2,32801.56313348497,2,139257.2019752113,BC
inh_BC_864691134920000010,6,864691135954431779,BC,2,952.1764542352431,2,139257.2019752113,BC
inh_BC_864691134920000010,6,864691136118882468,BC,2,14999.087972273514,2,139257.2019752113,BC
inh_BC_864691134920000010,8,864691135593064459,BC,3,3531.3705609696117,2,136195.3061994552,BC
inh_BC_864691134920000010,8,864691135810265885,MC,2,4075.9705592656087,2,136195.3061994552,BC
inh_BC_864691134920000010,8,864691136288527555,BC,2,2295.3343982958127,2,136195.3061994552,BC
inh_BC_864691134920000010,9,864691135518375123,excitatory,3,4108.174491112186,1,51966.45692610986,BC
inh_BC_864691134920000010,15,864691135545730856,BPC,2,1978.8683634845447,1,35809.149851365626,BC
inh_BC_864691134920000010,17,864691135774469707,excitatory,3,3852.0304815859986,2,115980.491308474,BC
inh_BC_864691134920000010,19,864691135511273225,excitatory,2,1524.7924448920908,1,47588.96889388579,BC
inh_BC_864691134920000010,20,864691135886148720,excitatory,2,10896.027900111123,1,29378.070898952057,BC
inh_BC_864691134920000010,28,864691135579207685,excitatory,2,2603.9600611376513,1,71461.24028471083,BC
inh_BC_864691134920000010,28,864691135864373118,excitatory,3,2832.697192315655,1,71461.24028471083,BC
inh_BC_864691134920000010,28,864691136034482107,BPC,2,1652.285689582767,1,71461.24028471083,BC
inh_BC_864691134920000010,30,864691135595712299,MC,2,5146.431773568946,1,51915.8223826496,BC
inh_BC_864691134920000010,47,864691135699296021,MC,2,8506.964676075715,1,67066.45729138136,BC
inh_BC_864691134920000010,50,864691135579081221,excitatory,2,14939.551800505931,1,35589.10553574704,BC
inh_BC_864691134920000010,52,864691135954423331,excitatory,2,764.4501291778294,2,80936.54600894367,BC
inh_BC_864691134920000010,53,864691135615950795,excitatory,2,732.7318745625852,2,126362.3753062576,BC
inh_BC_864691134920000010,53,864691135726627243,excitatory,2,2254.5953073667124,2,126362.3753062576,BC
inh_BC_864691134920000010,53,864691135741998484,excitatory,2,364.41734316577197,2,126362.3753062576,BC
inh_BC_864691134942595939,1,864691136905911986,BC,3,4543.608319684311,0,10136.345020284223,BC
inh_BC_864691134942595939,2,864691135891690121,BC,2,1256.6940757399948,0,16210.342549137213,BC
inh_BC_864691134942595939,3,864691135941789606,BC,2,4388.9862155172,0,14399.573434875814,BC
inh_BC_864691134942595939,4,864691135118298845,BC,2,2367.932431468432,0,26487.18033389601,BC
inh_BC_864691134942595939,4,864691135891690121,BC,2,1251.1498711185643,0,26487.18033389601,BC
inh_BC_864691134942595939,6,864691135118298845,BC,2,8601.425928298167,0,17150.723833121447,BC
inh_BC_864691134942595939,6,864691135134565280,BC,2,4892.345040979837,0,17150.723833121447,BC
inh_BC_864691134942595939,7,864691134920000010,BC,2,1990.252245319673,0,18421.02918716939,BC
inh_BC_864691134942595939,8,864691135593109771,BC,2,1211.5774841090438,0,18941.47969137573,BC
inh_BC_864691134942595939,9,864691135349900503,BPC,4,13619.906285703559,1,48846.65355247004,BC
inh_BC_864691134942595939,11,864691135499490579,excitatory,2,3443.8025495083193,2,140322.28874986278,BC
inh_BC_864691134942595939,11,864691135892056457,MC,2,3544.9028195424485,2,140322.28874986278,BC
inh_BC_864691134942595939,11,864691136090094391,excitatory,2,25262.93094634904,2,140322.28874986278,BC
inh_BC_864691134942595939,11,864691136906126002,MC,2,18373.833568420065,2,140322.28874986278,BC
inh_BC_864691134942595939,12,864691134920000010,BC,2,2438.415879213388,1,37107.4994978076,BC
inh_BC_864691134942595939,12,864691135334974441,excitatory,2,1083.5497219786455,1,37107.4994978076,BC
inh_BC_864691134942595939,13,864691135388011905,excitatory,2,9124.931999746628,2,192011.23579693388,BC
inh_BC_864691134942595939,13,864691135717099546,excitatory,2,16172.101409526222,2,192011.23579693388,BC
inh_BC_864691134942595939,13,864691135886300272,excitatory,2,12572.350615537256,2,192011.23579693388,BC
inh_BC_864691134942595939,15,864691136991390869,excitatory,2,1954.5065873513959,2,147693.02467265405,BC
inh_BC_864691134942595939,16,864691136011733934,MC,2,8001.911771570592,2,123704.74775126176,BC
inh_BC_864691134942595939,17,864691135466333509,BC,2,82674.32162406898,2,147498.8520983861,BC
inh_BC_864691134942595939,17,864691136092588212,excitatory,2,6940.132563575425,2,147498.8520983861,BC
inh_BC_864691134942595939,21,864691135587455612,excitatory,2,847.1127433818948,2,99270.11587165431,BC
inh_BC_864691134942595939,23,864691135885513584,BC,2,87845.03701405105,2,169362.91475242286,BC
inh_BC_864691134942595939,28,864691136331147498,excitatory,2,2879.566634061452,2,95654.35595021857,BC
inh_BC_864691134942595939,32,864691135499964947,excitatory,2,10496.304873621002,2,98449.16693043004,BC
inh_BC_864691134942595939,32,864691135948873825,BC,2,1450.473026291768,2,98449.16693043004,BC
