neuron_label,H,p_value,n_branches,p_bh
exc_23P_864691134884807418,6.879148103475131,0.03207834613405345,117,0.09210336599861126
exc_23P_864691134886335738,0.07881773399014946,0.9613575614019525,28,0.970893937778637
exc_23P_864691134886828794,6.8914082333485,0.03188230527468597,126,0.0920907228277852
exc_23P_864691134887444986,35.95818691112811,1.5551737696958827e-08,84,2.770801266341498e-06
exc_23P_864691134919972106,4.764729571676952,0.09233197379266514,75,0.1894489059200749
exc_23P_864691134941412707,2.637661807796462,0.26744779143554176,43,0.3952164872879794
exc_23P_864691134941495395,1.3378892052688798,0.5122489187585366,33,0.6177034339005929
exc_23P_864691134942169955,9.737568323958072,0.007682700531083062,73,0.0355532764836701
exc_23P_864691134942468707,6.915321821036116,0.03150336509265432,90,0.09138968055372448
exc_23P_864691134942472035,5.370434393036021,0.06820637819955559,100,0.1559304773238387
exc_23P_864691134948788476,4.8894057864109755,0.08675190565381544,83,0.18095177979303162
exc_23P_864691134950156796,0.02277906425376841,0.9886750830492865,98,0.9914896620134671
exc_23P_864691134965778719,0.6584373925993532,0.719485650690539,86,0.7836272649905107
exc_23P_864691134966495519,9.437816971932762,0.00892491490365491,83,0.0398291805410914
exc_23P_864691134989865338,7.698342348987808,0.0212973809377958,83,0.0708146196656414
exc_23P_864691134991010426,0.23150623678361626,0.8906950923923564,91,0.9168541682883284
exc_23P_864691135014734486,0.8935132575757478,0.6396995737924501,32,0.7204410463208659
exc_23P_864691135015605910,2.106736115498819,0.3487611211511972,48,0.47463480396006336
exc_23P_864691135015652246,5.2037435430619325,0.0741346850737938,86,0.16502626670674617
exc_23P_864691135060651419,1.4347481607243822,0.4880321079264208,132,0.5949780773170654
exc_23P_864691135060727707,1.6611978976567343,0.4357881933108647,102,0.5496844585832618
exc_23P_864691135067961412,4.726293815117771,0.09412355851520111,79,0.19220264384479463
exc_23P_864691135102151968,6.878171324755897,0.032094016683332734,94,0.09210336599861126
exc_23P_864691135102274592,0.0282570207569961,0.9859708286365236,104,0.9904888227575452
exc_23P_864691135102353696,4.002973697966212,0.135134209628442,77,0.24750465898734322
exc_23P_864691135102381856,10.186308530189649,0.006138626462066891,86,0.030736260833487152
