neuron_label,H,p_value,n_branches,p_bh
exc_23P_864691134884807418,4.541662235565468,0.10322635116497074,122,0.2482541493708745
exc_23P_864691134886335738,6.983218390804595,0.030451829777933374,29,0.13822932497923895
exc_23P_864691134886828794,4.932349127041334,0.0849090527026406,138,0.22046349669601936
exc_23P_864691134887444986,4.026650852803016,0.13354384522627177,86,0.2871195250933935
exc_23P_864691134919972106,4.37976554441363,0.11192986913981966,81,0.2609662597829165
exc_23P_864691134941412707,8.223635522664182,0.01637797619954126,46,0.09919578786011109
exc_23P_864691134941495395,1.9009139009139204,0.3865643423374413,35,0.5370205093680633
exc_23P_864691134942169955,6.688824332412054,0.03528094839691886,81,0.14884638376514797
exc_23P_864691134942468707,0.003441227181440354,0.9982808658162265,94,0.9987480070730428
exc_23P_864691134942472035,4.4709044596853005,0.10694375575799532,101,0.25296719148222446
exc_23P_864691134948788476,6.817762293885892,0.03307818931267007,88,0.14430356323975446
exc_23P_864691134950156796,17.54514763923771,0.00015492431980285428,104,0.013968903953862207
exc_23P_864691134965778719,14.80106720702463,0.000610926681515672,94,0.023365174491013937
exc_23P_864691134966495519,5.194417224995902,0.07448119418579854,86,0.20741189951530267
exc_23P_864691134989865338,5.663228491396524,0.058917669270442306,84,0.18970779653645428
exc_23P_864691134991010426,10.843778562997443,0.004418790417698682,94,0.054609097763235734
exc_23P_864691135014734486,11.730538579067982,0.0028362591677284525,33,0.04331372929002451
exc_23P_864691135015605910,5.631601639204291,0.05985676507076606,52,0.19009044454837493
exc_23P_864691135015652246,7.247380764622164,0.02668402032851365,90,0.1295770222253249
exc_23P_864691135060651419,7.1749358740298135,0.02766829968006393,137,0.13029697074003674
exc_23P_864691135060727707,4.994342208627984,0.08231753728111693,111,0.21674248116629063
exc_23P_864691135067961412,0.5311874936629692,0.7667505590807904,86,0.8411045127320318
exc_23P_864691135102151968,3.48959123426215,0.17468068705861423,99,0.33938250760726313
exc_23P_864691135102274592,2.84403346578398,0.24122703550945088,106,0.4089955606020666
exc_23P_864691135102353696,3.535475478750243,0.17071876263507008,82,0.3351752996362429
exc_23P_864691135102381856,3.9347550268520877,0.1398230599203928,91,0.294233958769488
exc_23P_864691135102434592,7.456221482303619,0.024038207359887293,53,0.12319126904388328
exc_23P_864691135115049881,1.2108649508190297,0.5458383139385713,119,0.673400066474706
exc_23P_864691135122469671,12.127271627190964,0.002325928851749136,137,0.03964319223186704
exc_23P_864691135134155168,3.131229897077958,0.20895947433150117,102,0.376056697071338
exc_23P_864691135134695328,8.882160808750484,0.011783201018229938,145,0.08384590307471389
exc_23P_864691135135019168,6.494908118564041,0.038873050436564416,62,0.15505705565928118
exc_23P_864691135136360217,9.946732487653406,0.006919814999911871,62,0.06664218229644855
exc_23P_864691135155894884,2.893503748273929,0.2353334406500739,112,0.40187132277145204
exc_23P_864691135157198692,0.6695623814041767,0.7154946261025561,31,0.8043103186036765
exc_23P_864691135164772653,13.714926029808055,0.0010515783900571145,87,0.0295825604992383
exc_23P_864691135164887085,5.823273901369646,0.05438662873285368,97,0.18608907768532224
exc_23P_864691135164887853,7.645443093158576,0.021868204496717426,85,0.11678881591787293
exc_23P_864691135183999490,8.798903909389878,0.012284070285669786,84,0.0842906680693586
exc_23P_864691135195825450,4.774625826662032,0.09187623187911093,51,0.22947591560460182
exc_23P_864691135209116537,2.8245439338949723,0.2435892273202604,103,0.41037660578793556
exc_23P_864691135209194617,9.654145505979159,0.00800993403721905,100,0.0710203902303122
exc_23P_864691135209432185,3.317954932308254,0.1903335030803099,57,0.35540002583904157
exc_23P_864691135210134905,4.36056138617937,0.11300980511672763,89,0.26177135789768546
exc_23P_864691135210387321,11.897515527950361,0.0026090795988100495,68,0.04148062641369507
exc_23P_864691135214986368,5.792494802494815,0.055230088026838965,74,0.18683849398952804
exc_23P_864691135234382937,6.056876456876438,0.048391155070440804,65,0.1750597115746234
exc_23P_864691135257404079,6.828909727512212,0.03289433370826205,117,0.14411492923824645
exc_23P_864691135257521583,6.672193975373716,0.035575538869967546,118,0.14884638376514797
exc_23P_864691135257638575,2.16421999053577,0.33887973611465694,65,0.4999919243127298
exc_23P_864691135257669039,4.193321795865813,0.12286600619641655,86,0.27391816605624464
exc_23P_864691135258509487,4.973832417582415,0.08316603823405193,39,0.21859670130330813
exc_23P_864691135258646703,9.584788069073767,0.008292580873881138,49,0.07167105692086854
exc_23P_864691135270320293,12.36419450182865,0.002066090198096066,129,0.03853046142448573
exc_23P_864691135271081125,0.998178078166319,0.6070834371796043,82,0.7203670305270649
exc_23P_864691135272003237,2.0654126994379567,0.3560420811212735,94,0.5164101494972501
exc_23P_864691135272206865,2.3841839587671814,0.3035855046838478,61,0.46931728779035914
exc_23P_864691135273918993,7.119392437898739,0.028447465202576752,127,0.13136216112982527
exc_23P_864691135274038801,10.918498727180918,0.004256749817270761,93,0.05353488887838169
exc_23P_864691135274195217,4.4447298733012985,0.10835255864493736,98,0.2548490323243961
exc_23P_864691135275621605,4.758736588523277,0.09260906071138728,69,0.2300622864301011
exc_23P_864691135275949029,6.021771199727766,0.04924804538017092,131,0.17578016865242974
exc_23P_864691135276132325,5.555784365099498,0.062169411137945295,106,0.1929146603961205
exc_23P_864691135276234469,5.540147502995779,0.06265738349585664,51,0.19329488541804538
exc_23P_864691135276504549,8.177998285797912,0.016755995526121663,83,0.10091357305591019
exc_23P_864691135277309669,4.837706244974527,0.08902365816575769,90,0.2249794103527068
exc_23P_864691135294190518,0.4243785084202045,0.8088116120781548,86,0.8707146156208937
exc_23P_864691135294361782,7.874533931676865,0.01950144008086565,98,0.11088850769385838
exc_23P_864691135294442678,12.774470255482925,0.0016829027860496247,78,0.0353392494402371
exc_23P_864691135304641703,0.9439317977484052,0.6237747839774441,125,0.7339738514825402
exc_23P_864691135309290822,5.576059839730306,0.061542337901196106,89,0.19244602250734943
exc_23P_864691135309722950,9.67133103241298,0.007941401434546042,84,0.0710203902303122
exc_23P_864691135309733190,1.5587041373926525,0.4587031231533797,60,0.6014377272438044
exc_23P_864691135325071004,1.6119959425630555,0.4466419682121566,91,0.5914363730229228
exc_23P_864691135325263004,0.4581900527652465,0.7952529599023578,85,0.8621578597968917
exc_23P_864691135336847849,4.878986587183306,0.08720502761519881,60,0.2222221085116747
exc_23P_864691135339103718,19.517252537465026,5.779396099889054e-05,88,0.01351623862942134
exc_23P_864691135341198789,1.8296165854465585,0.4005934154027879,82,0.5511381738295756
exc_23P_864691135342594225,12.557544345587814,0.0018757022191496196,111,0.03679129673891639
exc_23P_864691135343818161,2.770916538658412,0.25020911035321447,92,0.4159775100584545
exc_23P_864691135347633055,9.709917692390917,0.007789653920610034,78,0.07101211317009153
exc_23P_864691135347725215,10.319634253047866,0.005742749786249096,79,0.0625177033588259
exc_23P_864691135349839831,12.712853583987624,0.0017355571521164152,97,0.0353392494402371
exc_23P_864691135351022807,0.12536911957721486,0.9392397009354957,87,0.9576034719122983
exc_23P_864691135351066583,3.2602962962962465,0.19590054967335246,99,0.3613765100963137
exc_23P_864691135358995288,2.8328532969681532,0.24257929108944676,110,0.4096485459431695
